Document Date,Document Number,Type,Is Credit,Brakes Code,Product / Ingredient,Qty Case,Unit Price,Net Value,Category,Subcategory,PO,Source
2026-06-12,9335414440,INVOICE,No,118561,Alpro Simply Plain                1x500g,4,1.65,6.6,Alpro yoghurt,Alpro yoghurt,EC28467565,Invoice CSV
2026-06-30,9335427052,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.96,9.96,Alpro yoghurt,Alpro yoghurt,EC28899092,Invoice CSV
2026-07-11,9335435845,INVOICE,No,118561,Alpro Simply Plain                1x500g,3,1.65,4.95,Alpro yoghurt,Alpro yoghurt,EC29078285,Invoice CSV
2024-07-13,9335020409,INVOICE,No,122924,Meredith&Drew Biscuit Assort Minipk 4x25,1,16.99,16.99,Biscuits,Biscuits & cookies,,Invoice CSV
2024-07-20,9335024027,INVOICE,No,118256,Crawfords Biscuits Minipack3       1x100,3,26.13,78.39,Biscuits,Biscuits & cookies,,Invoice CSV
2024-07-23,9335024882,INVOICE,No,85184,Brakes Digestive Rounds          12x300g,2,10.16,20.32,Biscuits,Biscuits & cookies,,Invoice CSV
2024-07-25,9335026186,INVOICE,No,135284,Nairns GF Choc Chip Biscuit Break 48x30g,1,14.61,14.61,Biscuits,Biscuits & cookies,,Invoice CSV
2024-07-25,9335026186,INVOICE,No,135285,Nairns GF Mixed Oat Biscuit Break 48x30g,1,14.61,14.61,Biscuits,Biscuits & cookies,,Invoice CSV
2024-07-27,9335027277,INVOICE,No,4618,Bronte Traditnl Minipack Assorted  100x2,2,17.99,35.98,Biscuits,Biscuits & cookies,,Invoice CSV
2024-07-27,9335027277,INVOICE,No,122924,Meredith&Drew Biscuit Assort Minipk 4x25,1,16.99,16.99,Biscuits,Biscuits & cookies,,Invoice CSV
2024-07-27,9335027277,INVOICE,No,116227,Nairns G/F Oat Cracker              1x60,1,12.81,12.81,Biscuits,Biscuits & cookies,,Invoice CSV
2024-07-27,9335027277,INVOICE,No,135284,Nairns GF Choc Chip Biscuit Break 48x30g,1,14.61,14.61,Biscuits,Biscuits & cookies,,Invoice CSV
2024-07-27,9335027277,INVOICE,No,135285,Nairns GF Mixed Oat Biscuit Break 48x30g,1,14.61,14.61,Biscuits,Biscuits & cookies,,Invoice CSV
2024-08-06,9335030231,INVOICE,No,85184,Brakes Digestive Rounds          12x300g,1,10.16,10.16,Biscuits,Biscuits & cookies,,Invoice CSV
2024-08-06,9335030231,INVOICE,No,118256,Crawfords Biscuits Minipack3       1x100,2,26.13,52.26,Biscuits,Biscuits & cookies,,Invoice CSV
2024-08-06,9335030231,INVOICE,No,135284,Nairns GF Choc Chip Biscuit Break 48x30g,1,14.61,14.61,Biscuits,Biscuits & cookies,,Invoice CSV
2024-08-06,9335030231,INVOICE,No,135285,Nairns GF Mixed Oat Biscuit Break 48x30g,1,14.61,14.61,Biscuits,Biscuits & cookies,,Invoice CSV
2024-08-13,9335033086,INVOICE,No,135284,Nairns GF Choc Chip Biscuit Break 48x30g,1,14.61,14.61,Biscuits,Biscuits & cookies,,Invoice CSV
2024-08-13,9335033086,INVOICE,No,135285,Nairns GF Mixed Oat Biscuit Break 48x30g,2,14.61,29.22,Biscuits,Biscuits & cookies,,Invoice CSV
2024-08-15,9335034096,INVOICE,No,118256,Crawfords Biscuits Minipack3       1x100,2,26.13,52.26,Biscuits,Biscuits & cookies,,Invoice CSV
2024-08-22,9335036680,INVOICE,No,118256,Crawfords Biscuits Minipack3       1x100,2,26.13,52.26,Biscuits,Biscuits & cookies,,Invoice CSV
2024-08-22,9335036680,INVOICE,No,135285,Nairns GF Mixed Oat Biscuit Break 48x30g,1,14.61,14.61,Biscuits,Biscuits & cookies,,Invoice CSV
2024-08-24,9335037597,INVOICE,No,127716,Miller?'s Savoury Biscuit Selec   12x125g,1,17.56,17.56,Biscuits,Biscuits & cookies,,Invoice CSV
2024-08-27,9335038116,INVOICE,No,135285,Nairns GF Mixed Oat Biscuit Break 48x30g,3,11.5,34.5,Biscuits,Biscuits & cookies,,Invoice CSV
2024-10-01,9335054767,INVOICE,No,118256,Crawfords Biscuits Minipack3       1x100,1,26.13,26.13,Biscuits,Biscuits & cookies,,Invoice CSV
2024-10-01,9335054767,INVOICE,No,135284,Nairns GF Choc Chip Biscuit Break 48x30g,1,14.61,14.61,Biscuits,Biscuits & cookies,,Invoice CSV
2024-10-01,9335054767,INVOICE,No,135285,Nairns GF Mixed Oat Biscuit Break 48x30g,2,14.61,29.22,Biscuits,Biscuits & cookies,,Invoice CSV
2024-10-12,9335061376,INVOICE,No,85184,Brakes Digestive Rounds          12x300g,1,10.62,10.62,Biscuits,Biscuits & cookies,,Invoice CSV
2024-10-12,9335061379,INVOICE,No,118256,Crawfords Biscuits Minipack3       1x100,1,26.13,26.13,Biscuits,Biscuits & cookies,,Invoice CSV
2024-10-12,9335061379,INVOICE,No,135284,Nairns GF Choc Chip Biscuit Break 48x30g,2,14.61,29.22,Biscuits,Biscuits & cookies,,Invoice CSV
2024-10-12,9335061379,INVOICE,No,135285,Nairns GF Mixed Oat Biscuit Break 48x30g,2,14.61,29.22,Biscuits,Biscuits & cookies,,Invoice CSV
2024-10-22,9335066227,INVOICE,No,118256,Crawfords Biscuits Minipack3       1x100,2,26.13,52.26,Biscuits,Biscuits & cookies,,Invoice CSV
2024-10-22,9335066227,INVOICE,No,135285,Nairns GF Mixed Oat Biscuit Break 48x30g,1,14.61,14.61,Biscuits,Biscuits & cookies,,Invoice CSV
2024-10-31,9335070101,INVOICE,No,85184,Brakes Digestive Rounds          12x300g,1,10.62,10.62,Biscuits,Biscuits & cookies,,Invoice CSV
2024-11-02,9335071238,INVOICE,No,18019,Lotus Caramelised Biscuits         1x300,1,14.25,14.25,Biscuits,Biscuits & cookies,,Invoice CSV
2024-11-02,9335071238,INVOICE,No,135284,Nairns GF Choc Chip Biscuit Break 48x30g,2,14.61,29.22,Biscuits,Biscuits & cookies,,Invoice CSV
2024-11-02,9335071238,INVOICE,No,135285,Nairns GF Mixed Oat Biscuit Break 48x30g,2,14.61,29.22,Biscuits,Biscuits & cookies,,Invoice CSV
2024-11-02,9335071238,INVOICE,No,29070,Nakd Cashew Cookie Bar            18x35g,1,10.22,10.22,Biscuits,Snack bars / biscuits,,Invoice CSV
2024-11-07,9335073520,INVOICE,No,85184,Brakes Digestive Rounds          12x300g,1,10.62,10.62,Biscuits,Biscuits & cookies,,Invoice CSV
2024-11-07,9335073520,INVOICE,No,135284,Nairns GF Choc Chip Biscuit Break 48x30g,3,14.61,43.83,Biscuits,Biscuits & cookies,,Invoice CSV
2024-11-07,9335073520,INVOICE,No,135285,Nairns GF Mixed Oat Biscuit Break 48x30g,3,14.61,43.83,Biscuits,Biscuits & cookies,,Invoice CSV
2024-11-07,9335073520,INVOICE,No,85080,Paterson Trip Choc Giant Cookie     1x18,2,9.28,18.56,Biscuits,Biscuits & cookies,,Invoice CSV
2024-11-07,9335073520,INVOICE,No,24192,Shortbread Rounds              1x200x11g,2,21.09,42.18,Biscuits,Biscuits & cookies,,Invoice CSV
2024-11-07,9335073520,INVOICE,No,146135,Walkers Assortd Biscuit Mini Pck 100x25g,3,19.14,57.42,Biscuits,Biscuits & cookies,,Invoice CSV
2024-11-19,9335079588,INVOICE,No,135285,Nairns GF Mixed Oat Biscuit Break 48x30g,1,14.61,14.61,Biscuits,Biscuits & cookies,,Invoice CSV
2024-11-21,9335081120,INVOICE,No,18019,Lotus Caramelised Biscuits         1x300,1,14.25,14.25,Biscuits,Biscuits & cookies,,Invoice CSV
2024-11-21,9335081120,INVOICE,No,127716,Miller?'s Savoury Biscuit Selec   12x125g,1,17.56,17.56,Biscuits,Biscuits & cookies,,Invoice CSV
2024-11-21,9335081120,INVOICE,No,152261,Nairns GF Wholegrain Cracker      60x12g,1,12.81,12.81,Biscuits,Biscuits & cookies,,Invoice CSV
2024-11-21,9335081120,INVOICE,No,146135,Walkers Assortd Biscuit Mini Pck 100x25g,1,19.14,19.14,Biscuits,Biscuits & cookies,,Invoice CSV
2024-11-23,9335082234,INVOICE,No,135285,Nairns GF Mixed Oat Biscuit Break 48x30g,1,14.61,14.61,Biscuits,Biscuits & cookies,,Invoice CSV
2024-11-23,9335082234,INVOICE,No,146135,Walkers Assortd Biscuit Mini Pck 100x25g,2,19.14,38.28,Biscuits,Biscuits & cookies,,Invoice CSV
2024-11-30,9335085800,INVOICE,No,135285,Nairns GF Mixed Oat Biscuit Break 48x30g,1,14.61,14.61,Biscuits,Biscuits & cookies,,Invoice CSV
2024-12-07,9335090170,INVOICE,No,146135,Walkers Assortd Biscuit Mini Pck 100x25g,2,19.14,38.28,Biscuits,Biscuits & cookies,,Invoice CSV
2024-12-10,9335090706,INVOICE,No,85184,Brakes Digestive Rounds          12x300g,2,10.62,21.24,Biscuits,Biscuits & cookies,,Invoice CSV
2024-12-10,9335090706,INVOICE,No,133542,Lotus Biscoff Smooth Spread      1x1.6kg,1,9.21,9.21,Biscuits,Biscuits & cookies,,Invoice CSV
2024-12-10,9335090706,INVOICE,No,135284,Nairns GF Choc Chip Biscuit Break 48x30g,2,14.61,29.22,Biscuits,Biscuits & cookies,,Invoice CSV
2024-12-10,9335090706,INVOICE,No,146135,Walkers Assortd Biscuit Mini Pck 100x25g,2,19.14,38.28,Biscuits,Biscuits & cookies,,Invoice CSV
2024-12-10,9335090706,INVOICE,No,3097,Walkers Oatcake Refills Bisc      24x75g,1,7.91,7.91,Biscuits,Biscuits & cookies,,Invoice CSV
2024-12-17,9335094867,INVOICE,No,135284,Nairns GF Choc Chip Biscuit Break 48x30g,1,14.61,14.61,Biscuits,Biscuits & cookies,,Invoice CSV
