Metric,Value
Food invoice lines,5070
Food credit lines,113
All food purchase lines (invoice + credit),5189
Unique food products bought,968
Food products with a real price change,453
Total real price-change events,971
Food products ending HIGHER than first price,333
Food products ending LOWER than first price,114
Food invoice spend £,128986.79
Food credits £,-3492.73
Food net spend £,132479.52

Brakes Code,Product,Category,Times ordered,First £,Last £,Times changed,Change %,Direction,Net spend £,Price history
33348,Sysco Essential Thick Cut Chip  4x2.27kg,Other food,15,11.73,11.44,4,-2.47,DOWN,337.43,£11.73 (2024-12-31) → £11.87 (2025-05-29) → £11.59 (2025-07-01) → £11.87 (2025-08-14) → £11.44 (2026-03-19)
18419,G V Dairy Natural Cottage Cheese 1x2kg,Other food,22,13.02,14.54,2,11.67,UP,333.2,£13.02 (2024-11-28) → £14.46 (2025-04-10) → £14.54 (2025-12-13)
526841,Set Soured Cream                   1x1kg,Other food,46,4.31,4.62,3,7.19,UP,326.69,£4.31 (2024-07-20) → £3.55 (2024-10-01) → £4.58 (2025-04-24) → £4.62 (2025-10-07)
130608,Brakes Berries Cocont & Seed Toppr 1x1kg,Other food,22,8.63,9.06,3,4.98,UP,320.61,£8.63 (2024-12-07) → £8.85 (2025-07-19) → £8.92 (2025-10-04) → £9.06 (2026-06-30)
10515,Migi 2Ply Blue Centrfeed 300sht 120m 1x6,Other food,19,9.79,9.79,3,0.0,SAME,318.58,£9.79 (2024-08-03) → £10.09 (2025-05-22) → £10.19 (2026-03-12) → £9.79 (2026-05-16)
124867,Kikkoman Tamari G/F Soy Sauce     1x1Ltr,Other food,13,5.54,5.61,1,1.26,UP,317.88,£5.54 (2024-07-25) → £5.61 (2025-05-22)
71035,Halloumi Cheese                   4x250g,Other food,10,10.99,9.9,3,-9.92,DOWN,315.5,£10.99 (2024-07-23) → £9.68 (2024-11-26) → £9.86 (2025-04-10) → £9.90 (2025-12-13)
28326,Sysco Classic Tomato Paste 1x800g (KC1),Other food,20,3.88,2.18,4,-43.81,DOWN,314.64,£3.88 (2024-07-23) → £2.40 (2024-11-09) → £2.12 (2025-04-10) → £1.98 (2025-12-04) → £2.18 (2026-04-25)
508,Cadbury Drinking Chocolate         1x5kg,Other food,8,38.73,39.45,2,1.86,UP,313.5,£38.73 (2024-11-07) → £39.23 (2025-05-27) → £39.45 (2025-11-04)
187060,Cocont Col Double Cream  6x400g,Other food,13,16.91,14.99,5,-11.35,DOWN,307.8,£16.91 (2024-07-27) → £12.99 (2024-09-19) → £16.26 (2024-11-07) → £16.48 (2025-06-03) → £16.55 (2025-11-20) → £14.99 (2026-06-04)
115344,Brakes Pure Clear Honey           6x454g,Other food,9,30.09,30.81,2,2.39,UP,303.2,£30.09 (2025-06-10) → £30.23 (2025-11-15) → £30.81 (2026-04-23)
134002,Perfect British Cheeseboard       6x155g,Other food,7,24.62,25.05,2,1.75,UP,299.72,£24.62 (2025-02-06) → £24.90 (2025-05-15) → £25.05 (2025-11-18)
128101,Cauldron Tofu                     6x396g,Other food,6,13.24,13.74,3,3.78,UP,297.8,£13.24 (2024-07-13) → £13.38 (2024-12-31) → £13.46 (2026-01-29) → £13.74 (2026-04-25)
113655,ALPRO Coconut For Professionals   1x1ltr,Plant-based milk,19,2.01,1.74,1,-13.43,DOWN,293.19,£2.01 (2024-07-23) → £1.74 (2024-10-12)
150992,Ardo Green Asparagus Spears        1x1kg,Other food,9,7.98,8.06,1,1.0,UP,288.72,£7.98 (2024-11-14) → £8.06 (2025-05-10)
74090,GVD American Style Cream Cheese 1x2kg,Other food,7,14.03,17.34,4,23.59,UP,285.77,£14.03 (2024-08-06) → £17.20 (2024-11-30) → £17.85 (2025-05-17) → £17.92 (2025-11-15) → £17.34 (2026-06-25)
136533,Ardo Oven Dried Tomatoes           1x1kg,Other food,10,6.9,7.05,2,2.17,UP,284.4,£6.90 (2024-11-14) → £6.98 (2025-05-13) → £7.05 (2025-12-20)
3761,Sysco Clss Mozz & Cheddar Chse Mix 3x1kg,Other food,2,31.6,31.6,0,0.0,SAME,284.4,£31.60 (2025-07-05)
133240,Clear Polypropylne Food Cont 9ltr CE 1x1,Other food,5,8.09,8.59,2,6.18,UP,283.86,£8.09 (2024-08-27) → £8.39 (2025-06-05) → £8.59 (2026-01-13)
150850,Lyles Maple Syrup               1x2.80kg,Other food,16,7.98,7.77,3,-2.63,DOWN,278.25,£7.98 (2024-07-25) → £7.26 (2025-01-21) → £7.62 (2025-05-15) → £7.77 (2025-10-14)
148781,Global Hacienda Soya Beans         1x1kg,Other food,20,5.39,3.88,5,-28.01,DOWN,278.21,£5.39 (2024-07-23) → £4.10 (2024-11-14) → £4.17 (2025-04-10) → £3.88 (2025-11-04) → £2.99 (2026-01-08) → £3.88 (2026-01-29)
135233,Bridor Vegan RTB Cherry Crown       1x48,Other food,8,29.15,40.38,2,38.52,UP,269.19,£29.15 (2024-07-20) → £30.30 (2024-10-24) → £40.38 (2025-01-25)
136769,Beechdean Clotted Cream Ice Cream 1x5ltr,Other food,7,15.18,13.99,3,-7.84,DOWN,265.71,£15.18 (2025-01-14) → £15.40 (2025-05-22) → £15.47 (2026-02-26) → £13.99 (2026-05-09)
