Document Date,Document Number,Type,Brakes Code,Product / Ingredient,Qty Case,Qty Split,Unit Price,VAT Rate,Net Value,Category,Subcategory,PO,Source,Credit Ref Invoice
2024-10-22,9335066226,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,2,,10.58,0.00%,21.16,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-10-22,9335066226,INVOICE,148660,Ubley Low Fat Natural Yogurt      1x5kg,1,,12.02,0.00%,12.02,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-10-24,9335067328,INVOICE,71955,Low Fat Natural Yoghurt          12x115g,1,,3.95,0.00%,3.95,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-10-31,9335070101,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,1,,10.58,0.00%,10.58,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-10-31,9335070101,INVOICE,148660,Ubley Low Fat Natural Yogurt      1x5kg,1,,12.02,0.00%,12.02,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-10-31,9335070101,INVOICE,114931,Wholesome Farms Greek Style Yogurt 1x5kg,1,,14.19,0.00%,14.19,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-11-02,9335071238,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,2,,10.58,0.00%,21.16,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-11-07,9335073520,INVOICE,148660,Ubley Low Fat Natural Yogurt      1x5kg,1,,12.02,0.00%,12.02,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-11-09,9335074567,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,1,,10.58,0.00%,10.58,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-11-14,9335076936,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,4,,10.58,0.00%,42.32,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-11-14,9335076936,INVOICE,148660,Ubley Low Fat Natural Yogurt      1x5kg,3,,12.02,0.00%,36.06,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-11-14,9335076936,INVOICE,113713,Yeo Organic Mango & Vanill Yogurt 12x80g,1,,3.81,0.00%,3.81,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-11-14,9335076936,INVOICE,71762,Yeo Organic Raspberry Yoghurt     12x80g,1,,3.81,0.00%,3.81,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-11-14,9335076936,INVOICE,71766,Yeo Strawbry Yogurt Organic       12x80g,1,,3.81,0.00%,3.81,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-11-15,5508440405,CREDIT,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,1,,10.58,0.00%,-10.58,Yoghurt & milk,Dairy milk,,Credit PDF,9335076936
2024-11-16,9335078789,INVOICE,115794,Brake Organic Natural Yogurt      1x2kg,4,,4.96,0.00%,19.84,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-11-19,9335079588,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,5,,10.58,0.00%,52.9,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-11-19,9335079588,INVOICE,148660,Ubley Low Fat Natural Yogurt      1x5kg,2,,12.02,0.00%,24.04,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-11-19,9335079588,INVOICE,71762,Yeo Organic Raspberry Yoghurt     12x80g,1,,3.81,0.00%,3.81,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-11-19,9335079588,INVOICE,71766,Yeo Strawbry Yogurt Organic       12x80g,1,,3.81,0.00%,3.81,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-11-21,9335081120,INVOICE,148660,Ubley Low Fat Natural Yogurt      1x5kg,2,,12.02,0.00%,24.04,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-11-23,9335082234,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,2,,10.58,0.00%,21.16,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-11-26,9335083251,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,2,,10.58,0.00%,21.16,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-11-26,9335083251,INVOICE,148660,Ubley Low Fat Natural Yogurt      1x5kg,2,,12.02,0.00%,24.04,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-11-27,5508454186,CREDIT,148660,Ubley Low Fat Natural Yogurt      1x5kg,2,,12.02,0.00%,-24.04,Yoghurt & milk,Dairy yoghurt,,Credit PDF,9335083251
2024-11-28,9335084443,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,2,,10.58,0.00%,21.16,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-11-28,9335084443,INVOICE,114931,Wholesome Farms Greek Style Yogurt 1x5kg,1,,14.19,0.00%,14.19,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-11-30,9335085800,INVOICE,114931,Wholesome Farms Greek Style Yogurt 1x5kg,4,,14.19,0.00%,56.76,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-12-03,9335087126,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,3,,10.58,0.00%,31.74,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-12-03,9335087126,INVOICE,31526,Ubley Fruit N Crm Yogurt Mixd    12x150g,4,,6.18,0.00%,24.72,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-12-07,9335090170,INVOICE,134428,Arla Lactofree Whole Milk         1x1ltr,1,,1.79,0.00%,1.79,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-12-07,9335090170,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,4,,10.58,0.00%,42.32,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-12-10,9335090706,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,2,,10.58,0.00%,21.16,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-12-12,9335092658,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,2,,10.58,0.00%,21.16,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-12-12,9335092659,INVOICE,148660,Ubley Low Fat Natural Yogurt      1x5kg,4,,12.02,0.00%,48.08,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-12-14,9335094135,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,6,,10.58,0.00%,63.48,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-12-14,9335094135,INVOICE,31526,Ubley Fruit N Crm Yogurt Mixd    12x150g,3,,6.18,0.00%,18.54,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-12-14,9335094135,INVOICE,114931,Wholesome Farms Greek Style Yogurt 1x5kg,2,,14.19,0.00%,28.38,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-12-28,9335098870,INVOICE,115794,Brake Organic Natural Yogurt      1x2kg,3,,4.96,0.00%,14.88,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-12-28,9335098870,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,3,,10.58,0.00%,31.74,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-12-28,9335098870,INVOICE,31526,Ubley Fruit N Crm Yogurt Mixd    12x150g,2,,6.18,0.00%,12.36,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-12-28,9335098870,INVOICE,114931,Wholesome Farms Greek Style Yogurt 1x5kg,1,,14.19,0.00%,14.19,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-12-31,9335099392,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,1,,10.58,0.00%,10.58,Yoghurt & milk,Dairy milk,,Invoice CSV,
2025-01-09,9335102845,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,2,,10.58,0.00%,21.16,Yoghurt & milk,Dairy milk,,Invoice CSV,
2025-01-09,9335102845,INVOICE,31526,Ubley Fruit N Crm Yogurt Mixd    12x150g,2,,6.18,0.00%,12.36,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
