Document Date,Document Number,Type,Brakes Code,Product / Ingredient,Qty Case,Qty Split,Unit Price,VAT Rate,Net Value,Category,Subcategory,PO,Source,Credit Ref Invoice
2025-06-24,9335195948,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.9,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-07-03,9335201880,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.9,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-07-08,9335204453,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,2,,9.9,0.00%,19.8,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-07-19,9335211554,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.9,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-07-24,9335214052,INVOICE,118561,Alpro Simply Plain                1x500g,6,,1.65,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-07-31,9335217285,INVOICE,118561,Alpro Simply Plain                1x500g,4,,1.65,0.00%,6.6,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-08-02,9335218441,INVOICE,118561,Alpro Simply Plain                1x500g,6,,1.65,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-08-02,9335218441,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.9,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-08-03,5508754608,CREDIT,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.9,0.00%,-9.9,Alpro yoghurt,Alpro yoghurt,,Credit PDF,9335218441
2025-08-07,9335220456,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.9,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-08-12,9335222453,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.9,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
